Fornecedor;CPF/CNPJ;Data;Tipo Despesa;Valor R$;Forma de Pagamento;Beneficiário/contratante;
AUTO POSTO JARDINS LTDA;00.073.558/0001-05;02/10/2010;       Combustíveis e lubrificantes;R$ 1.990,87;Cheque; -  -  / 23043 - TERCILIO LUIZ TURINI - PR - Deputado Estadual;
ELEIÇÃO 2010 RUBENS BUENO DEPUTADO FEDERAL;;12.172.903/0001-39;15/09/2010;Baixa de Recursos Estimáveis em Dinheiro;R$ 300,00;Estimado;2300 -  - PPS -  - Deputado Federal / 23043 - TERCILIO LUIZ TURINI - PR - Deputado Estadual;
EMPRESA JORNALISTICA FOLHA DE LONDRINA S/A;77.338.424/0001-95;24/09/2010;       Publicidade por jornais e revistas;R$ 2.432,96;Cheque; -  -  / 23043 - TERCILIO LUIZ TURINI - PR - Deputado Estadual;
F RICIERI PUBLICIDADES E EVENTOS - ME;09.168.383/0001-86;28/09/2010;       Publicidade por materiais impressos;R$ 11.000,00;Cheque; -  -  / 23043 - TERCILIO LUIZ TURINI - PR - Deputado Estadual;
GRAFICA AMOREIRA - ANTONIO RAFAEL PEREIRA FERRARI;10.634.396/0001-82;30/09/2010;       Publicidade por jornais e revistas;R$ 300,00;Cheque; -  -  / 23043 - TERCILIO LUIZ TURINI - PR - Deputado Estadual;
J. BORTOTO GRÁFICA E EDITORA LTDA;04.271.058/0001-20;26/08/2010;       Publicidade por materiais impressos;R$ 1.950,00;Cheque; -  -  / 23043 - TERCILIO LUIZ TURINI - PR - Deputado Estadual;
MG3 DELTA PRODUÇÕES VISUAIS LTDA;05.130.147/0001-10;25/08/2010;       Publicidade por materiais impressos;R$ 1.962,50;Cheque; -  -  / 23043 - TERCILIO LUIZ TURINI - PR - Deputado Estadual;
REALIZA GRAFICA E SERIGRAFIA LTDA;09.649.951/0001-60;17/09/2010;       Publicidade por materiais impressos;R$ 3.000,00;Cheque; -  -  / 23043 - TERCILIO LUIZ TURINI - PR - Deputado Estadual;
REALIZA GRAFICA E SERIGRAFIA LTDA;09.649.951/0001-60;11/09/2010;       Publicidade por materiais impressos;R$ 2.000,00;Cheque; -  -  / 23043 - TERCILIO LUIZ TURINI - PR - Deputado Estadual;
REALIZA GRAFICA E SERIGRAFIA LTDA;09.649.951/0001-60;04/08/2010;       Publicidade por materiais impressos;R$ 1.000,00;Cheque; -  -  / 23043 - TERCILIO LUIZ TURINI - PR - Deputado Estadual;
SANDRA M. DA CUNHA DELALIBERA - ME;01.431.799/0001-33;26/08/2010;       Publicidade por materiais impressos;R$ 130,00;Cheque; -  -  / 23043 - TERCILIO LUIZ TURINI - PR - Deputado Estadual;
SERIGRAFIA CARREIRA LTDA;08.679.947/0001-82;06/08/2010;       Publicidade por materiais impressos;R$ 1.860,00;Cheque; -  -  / 23043 - TERCILIO LUIZ TURINI - PR - Deputado Estadual;
